  r    logN  err
13.50 -0.494 0.04 
14.00 -0.144 0.02 
14.50  0.222 0.02 
15.00  0.448 0.01 
15.50  0.735 0.01 
16.00  1.033 0.01 
16.50  1.289 0.01 
17.00  1.565 0.01 
17.50  1.814 0.01 
18.00  2.060 0.01 
18.50  2.302 0.01 
19.00  2.534 0.01 
19.50  2.735 0.01 
